DateCreated;MrwNumber;GSN_SerialNumber;GZP_ZP;GZP_ZPMounted;Channel;ACR5_Temp;ACR5_TCVal1
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;-30;-84
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;-25;-74
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;-20;-64
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;-15;-54
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;-10;-47
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;-5;-39
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;0;-32
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;5;-24
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;10;-16
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;15;-8
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;20;0
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;25;7
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;30;15
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;35;22
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;40;29
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;45;36
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;50;43
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;55;50
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;60;58
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;65;66
08.01.2021 10:55;52878;2241-021-021;2239;2248;0;70;74
